"Sample","ShannonIndex","SpeciesRichness"
"s1t1p1",0.206192050633232,2
"s1t1p2",1.17158494348664,5
"s1t1p3",0.936002704317965,5
"s1t1p4",0.778132548171026,3
"s1t1p5",1.31663135618409,6
"s1t1p6",1.28861776688634,6
"s1t2p1",1.53790736678427,7
"s1t2p2",0.184809736791511,4
"s1t2p3",0.941258695278677,4
"s1t2p4",1.69642368287221,8
"s1t2p6",1.52349955693677,6
"s1t3p1",1.58755027530764,7
"s1t3p2",0.83132537270061,6
"s1t3p3",1.03296988524382,6
"s1t3p4",1.39232125475743,5
"s1t3p5",1.24541239592601,5
"s1t3p6",1.19327798083538,6
"s1t4p1",0.144765317042711,3
"s1t4p2",0.500402423538188,2
"s1t4p3",1.10253018769221,4
"s1t4p4",0,1
"s1t4p5",0.891674456298225,4
"s1t4p6",0.980261027270842,4
"s1t5p1",0.594024165582471,3
"s1t5p2",0.282738880066872,2
"s1t5p3",0.685314207276458,2
"s1t5p4",0,1
"s1t5p5",1.07409842215311,5
"s1t5p6",0.815849865184519,3
"s2t1p1",0.119976647825488,3
"s2t1p2",0.108446415937116,3
"s2t1p3",0.525568899263348,4
"s2t1p4",0.798225159570753,4
"s2t1p5",0.313495627924541,3
"s2t1p6",0,1
"s2t2p1",0.702974707656593,6
"s2t2p2",1.03349206069237,3
"s2t2p3",0.902735235309711,4
"s2t2p4",0.692012964831874,2
"s2t2p5",0.0579075174881343,2
"s2t2p6",0.708581534243736,3
"s2t3p1",1.23799649530242,5
"s2t3p2",1.25115598336363,4
"s2t3p3",0.730588061371122,3
"s2t3p4",0.501046913759097,3
"s2t3p5",0.271189373041844,2
"s2t3p6",0.873900414269067,3
"s2t4p1",0.658109987543114,2
"s2t4p2",0.479783002167653,3
"s2t4p3",0.183349468089932,2
"s2t4p4",1.0079710985857,4
"s2t4p5",0.698304630295462,4
"s2t5p1",0.282738880066872,2
"s2t5p2",0.688138813713588,2
"s2t5p3",0.714288686369108,3
"s2t5p4",0.0860148849495248,4
"s2t5p5",0.247901806070712,2
"s2t5p6",0.494702412787741,3
"s3t1p1",0.686961576597323,2
"s3t1p2",1.64478218627111,6
"s3t1p3",1.25505834771896,6
"s3t1p4",0.927649013055109,3
"s3t1p5",1.54640379192738,6
"s3t1p6",0.964942040916715,5
"s3t2p1",0.741830412456956,3
"s3t2p2",0.729871209983116,3
"s3t2p3",1.14252727871619,4
"s3t2p4",1.2251824655762,5
"s3t2p5",1.50939301534609,6
"s3t2p6",0.691502198054099,3
"s3t3p1",1.06371555298429,3
"s3t3p2",1.65432197070638,6
"s3t3p3",1.57805163067824,6
"s3t3p4",0.470235962355249,3
"s3t3p5",0.963551180018119,4
"s3t3p6",1.09603496975765,4
"s3t4p1",1.65841008377077,7
"s3t4p2",0.579367146711296,4
"s3t4p3",0.64110707656534,5
"s3t4p4",0,1
"s3t4p5",0.438640292037925,3
"s3t4p6",0.136863993282248,2
"s3t5p1",1.53519084913132,5
"s3t5p2",0.682908104700472,2
"s3t5p4",1.09895405283888,4
"s3t5p5",0.983891863803136,3
"s3t5p6",1.19168922344041,4
