"","VerticalWaterDistanceLog","SoilMoistureAvrg","pHLog","SalinityAdjustedLog","BulkDensityIncRootsLog"
"s1t1p1",1.25276296849537,76.2,2.01756613796175,8.34616759436413,-1.13943428318836
"s1t1p2",3.71357206670431,51,2.09679018001445,8.28149617403041,-1.09362474715707
"s1t1p3",2.71469474382088,63.67,2.20165917440409,8.93164446935404,-1.01335244471729
"s1t1p4",3.2846635654062,53.93,2.21266038546606,8.52354497605365,-0.0866478067256722
"s1t1p5",3.83945231259331,55.03,2.18380155700408,10.4922182161756,-0.525939261576039
"s1t1p6",2.19722457733622,83.77,1.9213246735827,8.32617311193024,-1.94491064872223
"s1t2p1",4.88658264542628,58.13,2.089391872533,8.62256170704206,-0.492658319810542
"s1t2p2",2.4423470353692,72.93,2.02154756326093,8.55102247381389,-0.936493439191674
"s1t2p3",1.79175946922805,84.27,1.98650354602057,7.76489030964753,-1.57987911019256
"s1t2p4",2.86220088092947,61.57,1.96571277635149,8.35712772031472,-1.55116900431012
"s1t2p6",2.67414864942653,70,2.04381436403668,8.39961163546146,-1.3509272172826
"s1t3p1",4.61015772749913,39.27,2.18829594659192,9.71063069382679,-0.400477566597125
"s1t3p2",3.02042488614436,62.87,2.10169215061466,8.45947932922576,-0.850971265753513
"s1t3p3",1.25276296849537,100,1.9643112344262,8.24194022330348,-1.6094379124341
"s1t3p4",1.87180217690159,94.6,1.95302761682418,8.10318570083026,-1.23787435600162
"s1t3p5",3.54095932403731,44.1,2.08567209143047,8.10656276599585,-0.49758039701597
"s1t3p6",3.02042488614436,45.37,2.0515563381903,8.71321710730141,-0.650087691099498
"s1t4p1",3.70130197411249,67.83,1.98513086220859,8.15638973689373,-1.40649706843741
"s1t4p2",2.86220088092947,72.5,2.01490302054226,8.55939024011603,-1.22077992264232
"s1t4p3",2.4423470353692,78.33,1.98650354602057,8.70384203863595,-1.3704210119636
"s1t4p4",1.25276296849537,100,1.9213246735827,8.24848726102494,-2.28278246569787
"s1t4p5",3.67630067190708,42.13,2.04251818757524,10.3487501305184,-1.3130438993803
"s1t4p6",4.17438726989564,16.33,2.2213750375685,9.00632765372748,-0.115410851511328
"s1t5p1",3.04452243772342,65.3,2.0188950418118,7.86149592630313,-0.951917909517306
"s1t5p2",3.31418600467253,60.13,2.05540496385159,8.74206325145615,-1.08470938349912
"s1t5p3",2.4423470353692,100,1.97269117173296,8.13294147970727,-1.74869997976761
"s1t5p4",3.93182563272433,45.4,1.99197551589856,9.10964672729351,-1.27654349716077
"s1t5p5",3.54095932403731,43.5,2.05796251000271,8.97526592979401,-0.949330585952355
"s1t5p6",3.15700042115011,68.5,2.00821403239147,7.96648957186739,-1.05268335677971
"s2t1p1",4.45434729625351,55.63,2.11021320034659,9.42831056451639,-0.825536368605691
"s2t1p2",2.07944154167984,73.4,2.02814824729229,7.68515169198698,-1.38629436111989
"s2t1p3",2.7408400239252,100,1.97269117173296,8.63272658741868,-1.70374859190534
"s2t1p4",2.4423470353692,59,2.21266038546606,9.43592095132381,-0.787457860031187
"s2t1p5",1.25276296849537,90.23,2.02551319965428,8.63761806767001,-0.723606388044654
"s2t1p6",4.40060302024682,36.4,2.18605127673809,10.7787062586348,-0.0618754037180875
"s2t2p1",3.97968165390196,51.3,2.07819075977818,8.47018963032065,-0.393042588109607
"s2t2p2",2.14006616349627,64.8,2.07442899985629,8.50456580043305,-1.44392347395653
"s2t2p3",2.14006616349627,74.2,2.02814824729229,7.67960272808575,-1.50959257746438
"s2t2p4",2.80336038090653,72.87,1.95727390770563,8.28320606042088,-1.55589714550607
"s2t2p5",1.25276296849537,77.7,2.04381436403668,7.58642313827725,-1.57021719928082
"s2t2p6",2.4423470353692,49.27,2.12226153886276,7.75129465654186,-0.13010868534702
"s2t3p1",4.85592890433527,50.5,2.12584791449399,8.45119226815641,-0.404965233066513
"s2t3p2",1.70474809223843,53.5,2.16102152867226,7.24244020502925,-0.767870726755882
"s2t3p3",2.60268968544438,63.53,2.05027016437956,8.6764849190955,-1.14885350510486
"s2t3p4",1.25276296849537,100,1.96571277635149,8.19913438230574,-1.6094379124341
"s2t3p5",1.25276296849537,41.43,2.07819075977818,8.87137904012608,0.113328685307003
"s2t3p6",2.9704144655697,77.8,2.13298230860787,9.58216596304011,-0.318828801448618
"s2t4p1",2.9704144655697,61.67,2.19053558918542,9.51059310160182,0.112435429329788
"s2t4p2",3.78418963391826,46.13,2.11021320034659,8.51133607193184,0.0898407039997895
"s2t4p3",-0.693147180559945,100,2.00148000021012,8.02273292173651,-1.26940060964839
"s2t4p4",3.23867845216438,62.77,2.01356879752913,8.2690548568627,-0.867500567704723
"s2t4p5",2.7408400239252,47.2,2.1540850846756,9.14515097239652,-0.767870726755882
"s2t5p1",2.56494935746154,67.67,2.05412373369555,8.40046160279563,-0.805196684368568
"s2t5p2",2.01490302054226,80.5,1.90359895098359,8.39476337618287,-1.58963528513792
"s2t5p3",1.87180217690159,74.07,2.006870848845,8.43151547016686,-1.30195321268614
"s2t5p4",0.916290731874155,93.73,1.99741770620125,7.87567025047543,-1.77195684193188
"s2t5p5",1.50407739677627,51.33,2.14943391349987,8.85859610936766,0.0449733656427312
"s2t5p6",3.90197266957464,21.37,2.22028985026722,9.72035766913423,0.342170257735851
"s3t1p1",5.30081424674662,15.47,2.13179677201376,9.06927668269605,-0.00300450902029872
"s3t1p2",4.44851637594271,41.33,2.08815348228186,9.46963840188596,-0.13010868534702
"s3t1p3",2.35137525716348,55.07,2.04769284336526,7.98268944029567,-0.0408219945202552
"s3t1p4",4.24132675257075,32.9,2.14943391349987,9.41910098292294,0.201306856705035
"s3t1p5",4.3502779363593,26.23,2.15176220325946,9.01967006111999,-0.0608121393967575
"s3t1p6",2.60268968544438,57.83,2.04769284336526,8.99713477520093,-0.553385238184787
"s3t2p1",5.17897060891547,14.03,2.10413415427021,9.51532194150603,-0.393042588109607
"s3t2p2",4.46014441393783,55.47,2.089391872533,10.2381724785832,-0.283690051182243
"s3t2p3",1.70474809223843,47.2,2.04381436403668,8.16669910655259,0.0535407669280298
"s3t2p4",3.63758615972639,46.13,2.09556092355972,9.51811914612709,-0.149660774554406
"s3t2p5",2.2512917986065,61.2,2.04381436403668,8.69149265710728,-0.371063681390832
"s3t2p6",1.50407739677627,61.4,1.97546895129686,9.04335973916082,-0.816445396904439
"s3t3p1",4.43675153436313,27.33,2.11745960886736,8.13997145764677,0.171429115627531
"s3t3p2",4.43675153436313,40.33,2.1621729392773,9.06988794126881,-0.295714244149045
"s3t3p3",3.88156379794344,43.47,2.06939120582633,7.77674473773828,-0.27443684570176
"s3t3p4",2.60268968544438,15.93,2.15986879079245,9.00484639651133,0.0639133257436529
"s3t3p5",2.52572864430826,58.03,2.02814824729229,9.31115356421277,-0.341082849178896
"s3t3p6",2.91777073208428,62.33,2.0188950418118,9.5354193801251,-0.534435489405125
"s3t4p1",3.65065824129374,51.07,2.11021320034659,7.76962361540802,-0.186329578191493
"s3t4p2",3.83945231259331,28.13,2.06432790386979,8.24500381825496,-0.555125882662571
"s3t4p3",2.01490302054226,70.47,1.99470031322475,7.9300335299064,-0.446287102628419
"s3t4p4",2.52572864430826,77.77,2.00012773496011,8.09222411140993,-0.991553216374702
"s3t4p5",3.92197333628131,21,2.02946317187359,8.37925209030301,-0.776528789498996
"s3t4p6",2.67414864942653,10.13,2.04381436403668,7.99108471078573,-0.421594490038048
"s3t5p1",2.60268968544438,60.77,2.05027016437956,8.76066629000344,-0.350976922824095
"s3t5p2",3.92197333628131,46.57,2.21593728626837,9.67218581352046,0.242946178610389
"s3t5p4",2.4423470353692,49.8,2.09433015417359,8.96193670332124,-0.27049724769768
"s3t5p5",4.06902675423781,24.57,2.15059873599616,9.2411353030994,-0.0460439385014068
"s3t5p6",3.8607297110406,20.2,2.16447179086441,8.9692517670071,0.215111379616945
