"SampleID","Cluster"
"Argentina.anserina",1
"Astragalus.tribulifolius",1
"Gentiana.leucomelaena",2
"Glaux.maritima",1
"Halerpestes.lancifolia",1
"Halerpestes.sarmentosa",2
"Knorringia.pamirica",1
"Lomatogonium.brachyantherum",2
"Pedicularis.longiflora.var..tubiformis",2
"Pedicularis.rhinanthoides",2
"Primula.involucrata",2
"Primula.pamirica",2
"Suaeda.olufsenii",1
"Taraxacum.spp.",2
"Blysmus.compressus",3
"Carex.microglochin",1
"Carex.moorcroftii",1
"Carex.orbicularis",4
"Carex.pseudofoetida",5
"Triglochin.maritima",1
"Triglochin.palustris",1
"Calamagrostis.holciformis",1
"Festuca.olgae",2
"Hordeum.brevisubulatum.subsp..turkes.",2
"Poa.tibetica",2
"Puccinellia.himalaica",1
"Puccinellia.ladakhensis",2
"Poaceae.unknown",1
