"","Species","1","2","3","4","5"
"1","Argentina.anserina",TRUE,FALSE,FALSE,TRUE,FALSE
"2","Astragalus.tribulifolius",FALSE,FALSE,TRUE,FALSE,FALSE
"3","Blysmus.kompressus",TRUE,TRUE,TRUE,TRUE,TRUE
"4","Calamogrostis.holciformis",TRUE,TRUE,TRUE,TRUE,FALSE
"5","Carex.microglochin",FALSE,TRUE,TRUE,TRUE,TRUE
"6","Carex.moorcroftii",FALSE,FALSE,TRUE,TRUE,TRUE
"7","Carex.orbicularis",TRUE,TRUE,TRUE,TRUE,FALSE
"8","Carex.pseudofoetida",FALSE,FALSE,TRUE,TRUE,TRUE
"9","Festuca.olgae",FALSE,FALSE,TRUE,FALSE,FALSE
"10","Gentiana.leucomelaena",FALSE,FALSE,TRUE,TRUE,TRUE
"11","Glaux.maritima",TRUE,FALSE,TRUE,TRUE,TRUE
"12","Halerpestes.lancifolia",TRUE,TRUE,TRUE,TRUE,TRUE
"13","Halerpestes.sarmentosa",TRUE,FALSE,TRUE,TRUE,TRUE
"14","Hordeum.brevisubulatum.subsp..turkes.",FALSE,FALSE,TRUE,TRUE,FALSE
"15","Knorringia.pamirica",FALSE,FALSE,TRUE,FALSE,TRUE
"16","Lomatogonium.branchyantherum",FALSE,TRUE,TRUE,FALSE,FALSE
"17","Pedicularis.longiflora.var..tubiformis",TRUE,FALSE,TRUE,TRUE,FALSE
"18","Pedicularis.rhinanthoides",FALSE,FALSE,TRUE,FALSE,FALSE
"19","Poa.tibetica",TRUE,FALSE,TRUE,FALSE,FALSE
"20","Poaceae.unknown",TRUE,TRUE,TRUE,TRUE,TRUE
"21","Primula.involucrata",FALSE,FALSE,TRUE,FALSE,FALSE
"22","Primula.pamirica",FALSE,TRUE,TRUE,FALSE,FALSE
"23","Puccinellia.himalaica",FALSE,FALSE,TRUE,TRUE,FALSE
"24","Puccinellia.ladakhensis",FALSE,FALSE,TRUE,FALSE,TRUE
"25","Suaeda.olufsenii",FALSE,FALSE,TRUE,FALSE,TRUE
"26","Taraxacum.spp.",FALSE,FALSE,TRUE,FALSE,FALSE
"27","Triglochin.maritima",TRUE,FALSE,TRUE,TRUE,TRUE
"28","Triglochin.palustris",TRUE,TRUE,TRUE,TRUE,TRUE
